Agriculture_value_added_GDP_percentage,Primary School age Children_out_of_school,GPD_Per_Capita_Percentage,Human_Development_Index,Trade_GDP,NumberOfConflicts
1.946730825,0.871015947,1.595786181,-0.073030042,0.63690185,-0.211346908
2.050204629,0.460144611,-0.637495372,-0.060806662,0.848741106,-0.158051019
2.01065556,0.408785694,-0.265844885,0.069576058,0.613422595,-0.169420808
2.005928841,0.665580279,-0.285462423,0.089948358,0.519958592,-0.187896717
1.560796724,1.281887282,-0.126181481,0.159214179,0.453034365,-0.224137921
1.865445543,0.511503528,1.134518579,0.199958779,0.52208494,-0.233375876
1.85089414,0.922374863,-0.694969838,0.244777839,0.528195398,-0.236218323
1.960186069,1.281887282,0.495307536,0.269224599,0.525976197,-0.236218323
1.785062312,0.100632193,0.066590344,0.281447979,0.359166502,-0.237639547
1.823946785,0.049273276,0.236673286,0.297745819,0.442871342,-0.226980369
1.810944353,0.254708943,-0.444371676,0.305894739,0.243469325,-0.21205752
1.682309857,-0.053444558,-1.628262443,-1.307591426,0.261486716,-0.207083237
-1.081747036,-0.977905063,-0.248732113,-1.307591426,-1.169658543,-0.221295474
-1.081747036,-0.977905063,-0.248732113,-1.307591426,-1.169658543,-0.216321191
-1.081747036,-0.977905063,-0.248732113,-1.307591426,-1.169658543,-0.03227272
-1.081747036,-0.977905063,-0.248732113,-1.307591426,-1.169658543,-0.017349871
-1.081747036,-0.977905063,-0.248732113,-1.307591426,-1.169658543,0.123351277
-1.081747036,-0.977905063,-0.248732113,-1.307591426,-1.169658543,-0.092674728
-1.081747036,-0.977905063,-0.248732113,-1.307591426,-1.169658543,-0.003848246
-1.081747036,-0.977905063,-0.248732113,-1.307591426,-1.169658543,0.042341525
-1.081747036,-0.977905063,-0.248732113,-1.307591426,-1.169658543,-0.038668227
-1.081747036,-0.977905063,-0.248732113,-1.307591426,-1.169658543,-0.075620043
-1.081747036,-0.977905063,-0.248732113,-1.307591426,-1.169658543,-0.02445599
-1.081747036,-0.977905063,-0.248732113,-1.307591426,-1.169658543,-0.008111917
-1.081747036,-0.977905063,-0.248732113,-1.307591426,-1.169658543,-0.053591076
-1.081747036,-0.977905063,-0.248732113,-1.307591426,-1.169658543,0.071476611
-1.081747036,-0.977905063,-0.248732113,-1.307591426,-1.169658543,0.255525082
-1.081747036,-0.977905063,-0.248732113,-1.307591426,-1.169658543,-0.027298437
-1.081747036,-0.977905063,-0.248732113,-1.307591426,-1.169658543,0.359274413
-1.081747036,-0.977905063,-0.248732113,-1.307591426,-1.169658543,0.496422501
-1.081747036,-0.977905063,-0.248732113,-1.307591426,-1.169658543,0.352168295
-1.081747036,-0.977905063,-0.248732113,-1.307591426,-1.169658543,0.507081679
-1.081747036,-0.977905063,-0.248732113,-1.307591426,-1.169658543,0.353589518
-1.081747036,-0.977905063,-0.248732113,-1.307591426,-1.169658543,0.455207014
-1.081747036,-0.977905063,-0.248732113,-1.307591426,-1.169658543,0.532663706
-1.081747036,-0.977905063,-0.248732113,-1.307591426,-1.169658543,0.481499652
-0.886615908,2.771295873,-0.71636162,0.142916339,0.706555905,-0.239771382
-0.88951063,2.360424537,-0.639692862,0.151065259,0.806350931,-0.23906077
-0.889047713,2.771295873,-0.34186924,0.163288639,0.633223905,-0.235507711
-0.886039052,2.771295873,-0.533079486,0.171437559,0.628308955,-0.239771382
-0.88636099,2.617219122,-0.256999225,0.208107699,0.578414001,-0.23906077
-0.88396111,2.565860205,-0.1422093,0.232554459,0.562702768,-0.239771382
-0.882239804,2.206347787,-0.036734609,0.273299059,0.70288103,-0.239771382
-0.881949492,2.360424537,0.058153351,0.305894739,0.748291867,-0.23906077
-0.886628394,2.257706704,-0.035483435,0.342564879,0.757570343,-0.238350159
-0.888106227,2.103629953,0.18464307,0.387383939,0.876190481,-0.238350159
-0.868861517,1.949553202,0.2255358,0.432202999,1.6552445,-0.23906077
-0.906309,1.744117534,0.319833457,0.46887314,1.664099547,-0.23906077
-0.832935096,1.795476451,0.211593811,0.48924544,0.993704985,-0.236218323
-0.845371512,0.665580279,-0.004022345,0.52999004,1.111796851,-0.233375876
-0.87537116,1.384605116,0.126991886,0.56666018,1.064941412,-0.236218323
-0.857529633,1.744117534,0.175313958,0.58295802,1.072183289,-0.23906077
-0.87770428,1.384605116,0.197208786,0.5951814,0.46144336,-0.233375876
-0.878997206,0.97373378,0.339653535,0.60740478,0.421515066,-0.222006086
-0.815879269,1.281887282,0.4163202,0.61962816,0.395848534,-0.234086487
-0.762839534,1.48732295,-0.335188902,-1.307591426,0.315374135,-0.236928935
-1.081747036,-0.977905063,-0.248732113,-1.307591426,-1.169658543,-0.237639547
-1.081747036,-0.977905063,-0.248732113,-1.307591426,-1.169658543,-0.23906077
-1.081747036,-0.977905063,-0.248732113,1.104488902,-1.169658543,-0.209925684
-1.081747036,-0.977905063,-0.248732113,1.108563362,-1.169658543,-0.226980369
-1.081747036,-0.977905063,-0.248732113,1.161531342,-1.169658543,-0.233375876
-1.081747036,-0.977905063,-0.248732113,1.185978102,-1.169658543,-0.205662013
-1.081747036,-0.977905063,-0.248732113,1.206350402,-1.169658543,-0.222006086
-1.081747036,-0.977905063,-0.248732113,1.222648242,-1.169658543,-0.204240789
-1.081747036,-0.977905063,-0.248732113,1.230797162,-1.169658543,-0.236928935
-1.081747036,-0.977905063,-0.248732113,1.255243922,-1.169658543,-0.238350159
-1.081747036,-0.977905063,-0.248732113,1.283765142,-1.169658543,-0.20068773
-1.081747036,-0.977905063,-0.248732113,1.316360822,-1.169658543,-0.233375876
-1.081747036,-0.977905063,-0.248732113,1.344882042,-1.169658543,-0.229822816
-1.081747036,-0.977905063,-0.248732113,1.377477723,-1.169658543,-0.178658763
-1.081747036,-0.977905063,-0.248732113,1.401924483,-1.169658543,-0.204240789
-1.081747036,-0.977905063,-0.248732113,1.426371243,-1.169658543,-0.149523676
-1.081747036,-0.977905063,-0.248732113,1.434520163,-1.169658543,0.343640952
-1.081747036,-0.977905063,-0.248732113,1.467115843,-1.169658543,0.062238657
-1.081747036,-0.977905063,-0.248732113,1.487488143,-1.169658543,1.516150516
-1.081747036,-0.977905063,-0.248732113,1.495637063,-1.169658543,0.892943918
-1.081747036,-0.977905063,-0.248732113,1.507860443,-1.169658543,0.629306919
-1.081747036,-0.977905063,-0.248732113,-1.307591426,-1.169658543,0.280396497
-1.081747036,-0.977905063,-0.248732113,-1.307591426,-1.169658543,0.177357778
-1.081747036,-0.977905063,-0.248732113,-1.307591426,-1.169658543,-0.059275971
-0.839162405,1.48732295,19.42604352,-1.307591426,7.247682242,-0.238350159
-0.869007547,1.025092697,2.406443594,-1.307591426,10.02023328,-0.23906077
-0.889208402,0.81965703,1.644706631,0.839649001,5.861844253,-0.23906077
-0.892826381,0.460144611,7.716807385,0.900765901,6.219016237,-0.239771382
-0.960081192,0.614221362,1.807838272,0.949659421,4.115035991,-0.239771382
-0.968226275,0.716939196,1.057523531,0.945584961,5.291189434,-0.239771382
-0.888194339,0.768298113,4.267015258,0.986329561,4.007092253,-0.238350159
-0.978325308,0.511503528,1.395039265,1.010776321,1.587622717,-0.23906077
-0.997614626,0.614221362,0.165783278,1.084116602,1.324747388,-0.239771382
-1.005620085,1.949553202,1.168900298,1.104488902,1.65200306,-0.23906077
-1.032491711,1.744117534,1.501187749,1.096339982,1.538454103,-0.23906077
-1.02286676,1.795476451,-0.695843715,1.092265522,1.40217453,-0.236218323
-1.022937721,1.846835368,-2.061505191,1.055595381,1.874742096,-0.239771382
-1.023719885,1.795476451,0.016932974,1.067818762,1.237300325,-0.239771382
-1.023624682,1.744117534,0.268352749,1.080042142,1.285660967,-0.23906077
-1.015849994,0.511503528,-1.38683088,1.063744302,1.079805601,-0.239771382
-1.00981473,0.30606786,-0.759304084,1.063744302,1.026899127,-0.23906077
-0.969680245,1.898194285,-2.011177912,1.104488902,0.966807412,-0.239771382
-0.939481073,0.151991109,-1.980598612,-1.307591426,0.815497846,-0.234797099
-1.081747036,-0.977905063,-0.248732113,-1.307591426,-1.169658543,-0.23906077
-1.081747036,-0.977905063,-0.248732113,-1.307591426,-1.169658543,-0.236218323
-0.150750704,2.719936956,0.643789176,-1.307591426,1.259132022,-0.23906077
0.327945053,2.925372624,-0.278419516,-1.307591426,0.827998798,-0.197134671
0.292220992,2.463142371,-0.577818575,-1.307591426,0.856022495,-0.131047768
-0.339841475,2.15498887,-1.050654497,0.041054838,0.258838017,-0.184343657
-0.184506214,2.052271036,0.523008882,-1.307591426,0.346830398,-0.238350159
-0.250170614,1.744117534,-0.296814524,-1.307591426,0.442106191,-0.23906077
